34.06738,-117.17482
34.94653,-82.22649
41.78371,-87.86778
26.75841,-80.09195
33.0896,-97.46647
40.51928,-85.643
40.39373,-80.43583
33.01137,-97.22101
40.58342,-74.26992
27.83197,-99.65963
41.03267,-84.60289
33.41721,-112.27283
39.89636,-84.22774
40.04448,-86.46086
38.75939,-95.00692
40.49885,-111.8635
41.37152,-88.86157
40.8127,-73.1156
45.59686,-122.69717
39.70084,-119.82646
28.05439,-81.70081
40.03728,-86.90234
32.33956,-86.40602
34.01506,-118.111
33.45028,-84.18579
38.82975,-94.89142
38.59289,-121.53929
40.69839,-74.08158
36.21235,-115.12313
34.94653,-82.22649
40.71774,-92.90831
42.1053,-88.37808
38.47473,-121.44266
27.97933,-82.01866
31.84839,-106.53272
34.99512,-106.68644
27.23049,-82.4687
